subject,score,train_samples,test_samples,fit_time_sec,pipeline,dataset
1,0.78125,2304,288,170.79727911949158,EEGNet,BNCI2014_001
2,0.6319444444444444,2304,288,174.22852778434753,EEGNet,BNCI2014_001
3,0.8993055555555556,2304,288,174.28470611572266,EEGNet,BNCI2014_001
4,0.53125,2304,288,174.7017035484314,EEGNet,BNCI2014_001
5,0.6388888888888888,2304,288,175.3626310825348,EEGNet,BNCI2014_001
6,0.6215277777777778,2304,288,173.6721739768982,EEGNet,BNCI2014_001
7,0.5798611111111112,2304,288,172.7679033279419,EEGNet,BNCI2014_001
8,0.8888888888888888,2304,288,175.19366836547852,EEGNet,BNCI2014_001
9,0.7673611111111112,2304,288,174.17531991004944,EEGNet,BNCI2014_001
