band_low,band_high,band_label,n_components,config_name,mean_score,std_score,min_score,max_score,elapsed_sec,bottom3_mean_score
8,35,8-35,10,band_8_35__csp_10,0.7756879925727844,0.1604488641023636,0.5343364477157593,0.9936342835426331,33.36654710769653,0.6107252836227417
8,32,8-32,10,band_8_32__csp_10,0.7732017040252686,0.16357730329036713,0.5115740895271301,0.993248462677002,35.071930170059204,0.6020447611808777
8,35,8-35,8,band_8_35__csp_8,0.7731910347938538,0.16034485399723053,0.5320215821266174,0.9913194179534912,33.179423093795776,0.6042952537536621
8,32,8-32,8,band_8_32__csp_8,0.7719156742095947,0.16251453757286072,0.508873462677002,0.9907407164573669,0.5786960124969482,0.5983796715736389
8,30,8-30,10,band_8_30__csp_10,0.7715834975242615,0.16591733694076538,0.4905478358268738,0.9930555820465088,37.25226593017578,0.5959683656692505
8,30,8-30,8,band_8_30__csp_8,0.7703081965446472,0.16506381332874298,0.48804011940956116,0.9907407164573669,40.36728000640869,0.5924961566925049
8,35,8-35,6,band_8_35__csp_6,0.7663859128952026,0.1606484353542328,0.5271990895271301,0.9897762537002563,33.195677042007446,0.6038451790809631
8,32,8-32,6,band_8_32__csp_6,0.765464186668396,0.16340449452400208,0.5013502836227417,0.9897762537002563,33.556573152542114,0.5969328284263611
8,30,8-30,6,band_8_30__csp_6,0.7641246318817139,0.1655678004026413,0.4818672835826874,0.9899691343307495,33.31698989868164,0.5915959477424622
10,30,10-30,10,band_10_30__csp_10,0.7620885372161865,0.16275006532669067,0.4957561790943146,0.977623462677002,31.539226293563843,0.5870627760887146
10,30,10-30,8,band_10_30__csp_8,0.7583376169204712,0.16579584777355194,0.5042438507080078,0.9774305820465088,31.601578950881958,0.5836870074272156
10,30,10-30,6,band_10_30__csp_6,0.7554547786712646,0.15809693932533264,0.5152391791343689,0.9672067761421204,36.67134094238281,0.5954218506813049
12,30,12-30,8,band_12_30__csp_8,0.7501822113990784,0.16704592108726501,0.44251543283462524,0.9710648059844971,31.534629821777344,0.5913386940956116
12,30,12-30,10,band_12_30__csp_10,0.746624231338501,0.1624704897403717,0.45023149251937866,0.96875,31.484986782073975,0.5919174551963806
12,30,12-30,6,band_12_30__csp_6,0.7359396815299988,0.15638768672943115,0.4492669701576233,0.9305555820465088,31.3623149394989,0.5652006268501282
10,30,10-30,4,band_10_30__csp_4,0.7263481616973877,0.14949685335159302,0.5104166865348816,0.9675925970077515,33.31458902359009,0.5940715074539185
8,35,8-35,4,band_8_35__csp_4,0.7028142809867859,0.1444886177778244,0.4774305522441864,0.9901620149612427,34.04793119430542,0.568415641784668
8,32,8-32,4,band_8_32__csp_4,0.7024819850921631,0.145766481757164,0.46894291043281555,0.9907407164573669,34.74997901916504,0.5657150149345398
8,30,8-30,4,band_8_30__csp_4,0.7018068432807922,0.1472897082567215,0.4627700746059418,0.9907407164573669,36.48009514808655,0.5626607537269592
12,30,12-30,4,band_12_30__csp_4,0.6829239726066589,0.13842099905014038,0.45119598507881165,0.9560185074806213,31.13316512107849,0.5539159178733826
